dn;Execution;mass;S;h;h1;L;B;Qy;Pz_0_2;Pz0_5
630;А22 / АС22;16,6;6;150;185;340;300/312;120,0;100,0;130,0
630;А23 / АС23;30,2;6;150;185;680;300/312;120,0;140,0;180,0
630;Б22 / БС22;19,3;6;150;185;340;300/312;120,0;100,0;130,0
630;Б23 / БС23;32,9;6;150;185;680;300/312;120,0;140,0;180,0
820;А12 / АС12;17;8;100;125;340;300/316;200,0;125,0;160,0
820;А13 / АС13;31,1;8;100;125;680;300/316;200,0;175,0;220,0
820;Б12 / БС12;20,5;8;100;125;340;300/316;200,0;125,0;160,0
820;Б13 / БС13;34,6;8;100;125;680;300/316;200,0;175,0;220,0
820;А22 / АС22;21,3;8;150;175;340;300/316;200,0;115,0;150,0
820;А23 / АС23;38,8;8;150;175;680;300/316;200,0;165,0;210,0
820;Б22 / БС22;24,8;8;150;175;340;300/316;200,0;115,0;150,0
820;Б23 / БС23;42,3;8;150;175;680;300/316;200,0;165,0;210,0
1020;А12 / АС12;27,6;8;100;161;340;500/516;340,0;140,0;175,0
1020;А13 / АС13;49,3;8;100;161;680;500/516;340,0;200,0;250,0
1020;Б12 / БС12;37,3;8;100;161;340;500/516;340,0;140,0;175,0
1020;Б13 / БС13;59;8;100;161;680;500/516;340,0;200,0;250,0
1020;А22 / АС22;33,3;8;150;211;340;500/516;340,0;130,0;165,0
1020;А23 / АС23;59;8;150;211;680;500/516;340,0;185,0;235,0
1020;Б22 / БС22;43;8;150;211;340;500/516;340,0;130,0;165,0
1020;Б23 / БС23;68,7;8;150;211;680;500/516;340,0;185,0;235,0
1220;А12 / АС12;26,8;8;100;150;340;500/516;400,0;140,0;175,0
1220;А13 / АС13;47,9;8;100;150;680;500/516;400,0;200,0;250,0
1220;Б12 / БС12;36,4;8;100;150;340;500/516;400,0;140,0;175,0
1220;Б13 / БС13;57,5;8;100;150;680;500/516;400,0;200,0;250,0
1220;А22 / АС22;32,5;8;150;200;340;500/516;400,0;130,0;165,0
1220;А23 / АС23;57,6;8;150;200;680;500/516;400,0;185,0;235,0
1220;Б22 / БС22;42,1;8;150;200;340;500/516;400,0;130,0;165,0
1220;Б23 / БС23;67,2;8;150;200;680;500/516;400,0;185,0;235,0
1420;А12 / АС12;32,5;10;100;142;340;500/520;450,0;150,0;190,0
1420;А13 / АС13;58,2;10;100;142;680;500/520;450,0;210,0;270,0
1420;Б12 / БС12;44,3;10;100;142;340;500/520;450,0;150,0;190,0
1420;Б13 / БС13;70;10;100;142;680;500/520;450,0;210,0;270,0
1420;А22 / АС22;39,5;10;150;192;340;500/520;450,0;140,0;180,0
1420;А23 / АС23;70,3;10;150;192;680;500/520;450,0;200,0;250,0
1420;Б22 / БС22;51,3;10;150;192;340;500/520;450,0;140,0;180,0
1420;Б23 / БС23;82,1;10;150;192;680;500/520;450,0;200,0;250,0
